Inventario,Marca,Modello,Anno,AnniProduzione,Paese,Acquisizione,TipoMotore,Cilindrata,Potenza,Velocita
V 161,ACMA,Vespa 400,1958,1957-1961,Francia,"Dono di Giovanni Agnelli, Torino",combustione interna ,393 cc,14 CV a 4550 giri/min.,90 km/h
V 016,Alfa Romeo,8C 2300,1934,1931-1934,Italia,"Dono di Alfa Romeo S.p.A., Milano",combustione interna,2336 cc,155 CV a 5200 giri/min.,180 km/h
V 145,Alfa Romeo,33 TT 12,1975,1973-1976,Italia,"Dono di Alfa Romeo S.p.A., Milano",combustione interna,2995 cc,500 CV a 11000 giri/min.,320 km/h
V 188,Alfa Romeo,155 V6 TI,1996,1996,Italia,,combustione interna,2499 cc,490 CV a 11900 giri/min.,oltre 300 km/h
V137,Alfa Romeo,179B,1981,1979-1982,Italia,"Dono di Alfa Romeo S.p.A., Milano",combustione interna,2995 cc,525 CV a 12300 giri/min.,300 km/h
V 192,Alfa Romeo,"1600 Spider Junior""Duetto""",1972,1966-1994,Italia,"Dono di Augusto Verlato, Torino",,1570 cc,110 CV a 6000 giri/min.,180 km/h
V 144,Alfa Romeo,2600 Touring Spider,1965,1962-1965,Italia,Acquistata da Varese Carri - proprietà FCA,combustione interna,2584 cc,145 CV a 5900 giri/min.,200 km/h
V 017,Alfa Romeo,Disco Volante,1952,1952,Italia,"Dono di Alfa Romeo S.p.A., Milano",combustione interna,3495 cc,246 CV a 6500 giri/min.,225 km/h
V 143,Alfa Romeo,Giulietta Sprint / Mascherone,1954,1954-1966,Italia,"Dono della Carrozzeria Bertone, Torino",combustione interna ,1290 cc,80 CV a 6300 giri/min.,165 km/h
V001,Alfa Romeo,"GP Tipo 158 ""Alfetta"" ",1938,1938-1951,Italia,"Dono di Alfa Romeo S.p.A., Milano",combustione interna,1479 cc,425 CV a 9300 giri/min.,305 km/h
V 015,Alfa Romeo,P2,1930,1924-1930,Italia,"Dono di Alfa Romeo S.p.A., Milano",combustione interna,1987 cc,175 CV a 5500 giri/min.,225 km/h
V139,Alfa Romeo,RL SS,1926,1925-1927,Italia,,combustione interna,2994 cc,83 CV a 3600 giri/min.,130 km/h
V 019,Aquila Italiana,25/30 HP,1912,1909-1912,Italia,"Dono della Famiglia Spagnoletti Zeuli, Torino",combustione interna,3921 cc,50 CV a 1800 giri/min.,125 km/h
V020,Austin,Seven,1932,,Regno Unito,"Dono di Gianfranco Moncalvi, Pavia",combustione interna ,748 cc,13 hp - 2500 rpm,70 km/h
V 195,Autobianchi,Bianchina (4 posti),1967,,Italia,"Dono di Roberto Giacomo Donato Momigliano, Torino",,,,
V 167,Autobianchi,Bianchina 500 trasformabile,1959,1957-1969,Italia,"Dono di Egle Baldo, Torino",combustione interna ,479 cc,"16,5 CV a 4000 giri/min.",90 km/h
V 173,Autobianchi,Primula,1967,,Italia,,combustione interna ,1221 cc,59 hp - 5400 rpm,135 km/h
,Automobile a molla di Leonardo,,1478,,Italia,Costruito per riallestimento Museo,,,,
V021,Bedelia,8 HP,1911,,Francia,,combustione interna,1056 cc,9 hp - 2400 rpm,60 km/h
V024,Benz,Motor Velocipede,1898,1894-1902,Germania,"Dono di Antonio Catalano di Melilli, Catania",combustione interna,1045 cc,"1,5 CV a 450 giri/min. ",20 km/h
V026,Bernardi ,3½ HP ,1896,1896-1901,Italia,"Dono di Michelin Italiana S.p.A., Torino",combustione interna,624 cc,"3,5 CV a 800 giri/min. ",35-40 km/h
V 168,BMW,Isetta 300,1962,1955-1962,Germania,"Acquistata da Loredana Alossa, Gassino Torinese",combustione interna,297 cc,13 CV a 5200 giri/min.,
V030,Brixia-Züst,10 HP ,1908,1908-1911,Italia,"Dono di Aurelio d’Acunzo, Roma",combustione interna,1386 cc,10 CV a 1000 giri/min.,55 km/h
V032,Bugatti,52 - Baby Bugatti,1927,,Francia,,elettrico,,,15/20 km/h
